unique_id;name;strasse_nr;art;lieferung;fon;name_street;fon_place_id;name_place_id
254;Louis Alfons- Premium Burger&Veggie Grill;Gerichtstraße 60;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493064491107;Louis Alfons- Premium Burger&Veggie Grill Gerichtstraße 60;['ChIJ5x0_04dRqEcRjQqK2x9cWnw'];['ChIJ5x0_04dRqEcRjQqK2x9cWnw']
85;Zagreb-Grill;Nachtigalplatz 25;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+49304521070;Zagreb-Grill Nachtigalplatz 25;['ChIJ5zZQ3d1TqEcRavR4gCEgqD8'];['ChIJ5zZQ3d1TqEcRavR4gCEgqD8']
267;Shikgoo;Tegeler Straße 25;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493085012045;Shikgoo Tegeler Straße 25;['ChIJtdwgHYJRqEcRvCj_XQRLUXo'];['ChIJtdwgHYJRqEcRvCj_XQRLUXo']
1146;12 Cafe & Bar;Sprengelstraße 12;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4916096605697;12 Cafe & Bar Sprengelstraße 12;['ChIJr6ODKFxRqEcRi5vaDcN5uIM'];['ChIJr6ODKFxRqEcRi5vaDcN5uIM']
58;SaLuCa;Seestraße 13;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+491726036843;SaLuCa Seestraße 13;['ChIJWY0qz2hZqEcRQbGOA0CvCHQ', 'ChIJL9ejzPlZqEcRIVOD4BVNv9k'];['ChIJS8r4JWZRqEcRYUbKir56dRE']
1155;IL PAESE;DEMMINERSTRASSE 13;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+49304639609;IL PAESE DEMMINERSTRASSE 13;['ChIJE_mRTPZRqEcR34csb4aCUss'];['ChIJE_mRTPZRqEcR34csb4aCUss']
7;Çi?köftem;Badstraße 4;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+491607661461;Çi?köftem Badstraße 4;[];['ChIJ0RJouSVSqEcRw-pupa9t6PU']
980;Shalimar Restaurant;Bellermannstraße.17;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+491788182809;Shalimar Restaurant Bellermannstraße.17;[];['ChIJ_zCvTiJSqEcRdTNV4MYySqE']
305;Cafe La Femme;Badstraße 67;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493046063979;Cafe La Femme Badstraße 67;['ChIJuZci8iFSqEcR_b8J8AaEmsc', 'ChIJPyo2-yFSqEcRUhlgXg3pQxA'];['ChIJuZci8iFSqEcR_b8J8AaEmsc']
580;AKKO Chicken & Grilled;Badstraße 21;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493055624099;AKKO Chicken & Grilled Badstraße 21;['ChIJWWu2WVtTqEcRmZpEZ_lUHqQ'];['ChIJWWu2WVtTqEcRmZpEZ_lUHqQ']
27;Kakadu;Soldiner Straße 13;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+491795310073;Kakadu Soldiner Straße 13;['ChIJVVXZxxdSqEcRf0Bd7Vbo4ls'];['ChIJ959nAj1SqEcRkcDbH_WoHkc']
1136;American Burger;Prinzenallee 37;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493070227004;American Burger Prinzenallee 37;['ChIJgQxLfDtSqEcRYM7lP_kG654', 'ChIJKe2ifjtSqEcRz0V51FiEkUU'];['ChIJgQxLfDtSqEcRYM7lP_kG654']
355;Berlin Burger Box;Antonienstraße 34N;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4917640799200;Berlin Burger Box Antonienstraße 34N;[];['ChIJ3wZTW2NTqEcR2Qd63_HgHVQ']
44;John Catering;Eichborndamm 111;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+491705257246;John Catering Eichborndamm 111;[];['ChIJS8Y2yItTqEcRV4UYUoHn0XI']
106;Restaurant PAPADAM;Scharnweberstraße 6 - 7;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493049879778;Restaurant PAPADAM Scharnweberstraße 6 - 7;[];['ChIJq0bkeOhTqEcRRnJrVcjMq_Q']
186;"Croatia Grill ""Zum Ritter""";Ritterlandweg 5;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+49304913028;"Croatia Grill ""Zum Ritter"" Ritterlandweg 5";['ChIJE3bITDJSqEcRhixWXpl89nY', 'ChIJlbLhsjNSqEcRaqRRkSMXN3E'];['ChIJE3bITDJSqEcRhixWXpl89nY', 'ChIJlbLhsjNSqEcRaqRRkSMXN3E']
300;"Restaurant ""Zum Pferdestall""";Pankower Allee 5;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+49304915072;"Restaurant ""Zum Pferdestall"" Pankower Allee 5";['ChIJYf1zV8tTqEcRNpJn6cKTCwc'];['ChIJYf1zV8tTqEcRNpJn6cKTCwc']
731;Taverna Hellas Ariston;Markstraße 20;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493043737643;Taverna Hellas Ariston Markstraße 20;['ChIJmWaIYS1SqEcRWTRkmcAvMJY'];['ChIJmWaIYS1SqEcRWTRkmcAvMJY']
