;name;city;bezirk;street_nr;lat;lng;types;business_status;price_level;rating;user_ratings_total
ChIJKWWYXSdVqEcRmDPxmz51Mwc;tom krugmann;Berlin;Bezirk Reinickendorf;Am Kahlschlag 19;52.63000999999999;13.27381;['point_of_interest', 'establishment'];OPERATIONAL;;;0
ChIJbzLtEGlOqEcRYfPnkq2qlbg;rembrandt-burger;Berlin;Bezirk Friedrichshain-Kreuzberg;Richard-Sorge-Straße 21;52.5200075;13.4478195;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.6;2328
ChIJXbho8RBOqEcRFKhJDk8-3Yw;Pila;Berlin;Bezirk Pankow;Prenzlauer Allee 26;52.5327261;13.421032;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;1;4.1;478
ChIJPyWhVRFOqEcRf8HBWmNl7Lk;Sofia Bar;Berlin;Bezirk Friedrichshain-Kreuzberg;Platz der Vereinten Nationen 1;52.5239122;13.4314575;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.1;192
ChIJhQ1iY7hOqEcRhNsFfC1OB3g;grünstern - Biologisches Catering aus Berlin;Berlin;Bezirk Lichtenberg;Alt-Friedrichsfelde 7B;52.51037879999999;13.5066052;['food', 'point_of_interest', 'establishment'];OPERATIONAL;;5;3
ChIJD2R2AcFOqEcROOsNQ7KkZGQ;Pizza Max Berlin Lichtenberg;Berlin;Bezirk Lichtenberg;Margaretenstraße 4;52.50773;13.49729;['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;3.3;142
ChIJ_6fFVMBOqEcRZHqF4VL7iV8;Restaurant Salsa Mexicana;Berlin;Bezirk Lichtenberg;Weitlingstraße 34;52.508075;13.496884;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;3.8;431
ChIJW8VRIu9OqEcRsCiy-mU_314;Café im Schilf;Berlin;Bezirk Lichtenberg;Hauffstraße 21;52.50399220000001;13.4823429;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];CLOSED_TEMPORARILY;2;4.6;22
ChIJW8VRIu9OqEcRdYGW7U14okc;Jelänger Jelieber;Berlin;Bezirk Lichtenberg;Kaskelstraße 49;52.50385;13.48177;['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;2;4.4;274
ChIJh4dfnddIqEcR-yHNYknc4tE;Italienisches Restaurant Quattro Fratelli;Berlin;Bezirk Lichtenberg;Rheinsteinstraße 1;52.4828288;13.5261337;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.3;423
