,name,strasse_nr,bezirk,lat,lng,types,delivery,franchise,food_type,price_lvl,nr_ratings,rating,angebot
845,m|a - feine Kost,Kienitzer Straße 93,Neukölln,52.47583729999999,13.4261476,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",True,False,[],Moderate,90,4.9,Feinkostladen und Gastronomie
77,Pomeranze Kaffeebar,Leinestraße 48,Neukölln,52.4729829,13.4253155,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",False,False,['kuchen'],Unknown,76,4.9,"Mittagstisch, Kuchen, Balkonbedarf, Saatgut, Werkzeug, Blumentöpfe"
1087,Nini e Pettirosso,Selkestraße 27,Neukölln,52.47026529999999,13.4369324,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,"['italienisch', 'pizza', 'pasta']",Inexpensive,583,4.3,Italienische Pizza & Pasta
1268,Café PLUME,Warthestraße 60,Neukölln,52.46972,13.42585,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",False,False,"['burger', 'vegan']",Unknown,69,4.2,"Burger, selbstgemachte gf vegane Nachspeisen"
634,TISK Speisekneipe,Neckarstraße 12,Neukölln,52.4801525,13.4323857,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,[],Expensive,201,4.2,Klassische Berliner Küche modern interpretiert
954,Pecados,Sonnenallee 127,Neukölln,52.480312,13.4433726,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,"['pasta', 'burger']",Unknown,142,4.8,"Pasta, Chivito (Burger), Empanadas, Canelones, Chorizo, Alfajores, Getränke"
310,Amma Restaurant,Tempelhofer Damm 214,Tempelhof-Schöneberg,52.45718799999999,13.38374,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",False,True,['indisch'],Moderate,655,4.2,Indische Spezialitäten
309,Amma Restaurant,Feuerbachstraße 31,Tempelhof-Schöneberg,52.38750169999999,13.4103888,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,True,['indisch'],Moderate,747,4.3,Indische und Singapurische Spezialitäten
311,Amma Restaurant,Kirchhainer Damm 1,Tempelhof-Schöneberg,52.38750169999999,13.4103888,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,True,['indisch'],Moderate,747,4.3,Indische und Singapurische Spezialitäten
1226,Pausini - Café und Catering,Kaiserin-Augusta-Straße 78,Tempelhof-Schöneberg,52.4592331,13.3838163,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",True,False,"['salat', 'pasta', 'vegan']",Moderate,267,4.4,"Hausgemachte Frühstücks-und Lunchbags, Sandwiches, Salate, Pasta, Desserts und vegane Produkte. Außerdem bieten wir individuelle Caterings an. Wir freuen uns auf Euch!"
97,Tempio Antico,Manteuffelstraße 5,Tempelhof-Schöneberg,52.465087,13.377354,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,False,"['pizza', 'steak', 'pasta', 'burger']",Inexpensive,260,4.4,"Pizza, Steaks, Pasta, Burger"
312,Tonsai Thairestaurant,Kaiserin-Augusta-Straße 73,Tempelhof-Schöneberg,52.4594338,13.3819884,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,['thai'],Moderate,380,4.5,thailändisch traditionelle Küche
1215,Nuova Mirabella,Alt-Tempelhof 27,Tempelhof-Schöneberg,52.4654986,13.3838843,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",False,False,"['pizza', 'pasta']",Moderate,615,4.5,Pizza/Pasta/Fleisch/Spargel
238,Café Olé in der UFA Fabrik,Viktoriastraße 13 - 18,Tempelhof-Schöneberg,52.4544774,13.3822533,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,False,['international'],Moderate,206,4.2,Internationale bodenständige Küche
