;unique_id;name;strasse_nr;art;lieferung;fon;place_id;bezirk;lat;lng;types;price_level;rating;user_ratings_total
131;713;CaféGarbe;Frankfurter Allee 40;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493029385422;ChIJUYko1l9OqEcRY6ukJLXpxBA;Bezirk Friedrichshain-Kreuzberg;52.51467239999999;13.462459;['premise'];;;0
132;458;Eddielicious Mexican Food;Samariter Straße 34a 10247 Berlin;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4917663186134;ChIJq6qah_ZOqEcRsQuVlgK_bMQ;Bezirk Friedrichshain-Kreuzberg;52.5082094;13.4665085;['restaurant', 'food', 'point_of_interest', 'establishment'];;4.6;186
133;909;Sai Baba;Rigaer Straße 75;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493060957146;ChIJt9_aL2BOqEcRFvSKK1Dyy5I;Bezirk Friedrichshain-Kreuzberg;52.51637700000001;13.465654;['restaurant', 'food', 'point_of_interest', 'establishment'];1;4.5;248
134;1092;Friedrichs Wirtschaft;Niederbarnimstraße 16;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+491735769283;ChIJ8Wkub15OqEcRTVsVWG2g4Q8;Bezirk Friedrichshain-Kreuzberg;52.513245;13.4585943;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.7;131
135;69;Hefter Partyservice;Eldenaer Straße 31;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493054703072;ChIJf0MjcslPqEcRpaYlV2ySJNM;Bezirk Friedrichshain-Kreuzberg;52.5203041;13.4704151;['food', 'point_of_interest', 'establishment'];;;0
136;112;rembrandt-burger;Richard-Sorge-Straße 21;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493089997296;ChIJbzLtEGlOqEcRYfPnkq2qlbg;Bezirk Friedrichshain-Kreuzberg;52.5200075;13.4478195;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];2;4.6;2328
137;382;DDR Speisegaststätte Pila ( Pionierlager );Weinstraße 11;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493093622303;ChIJXbho8RBOqEcRFKhJDk8-3Yw;Bezirk Pankow;52.5327261;13.421032;['restaurant', 'food', 'point_of_interest', 'establishment'];1;4.1;478
138;223;Sofia Bar;Platz der Vereinten Nationen 1;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493048622769;ChIJPyWhVRFOqEcRf8HBWmNl7Lk;Bezirk Friedrichshain-Kreuzberg;52.5239122;13.4314575;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];2;4.1;192
139;30;grünstern - Biologisches Catering aus Berlin;Alt Friedrichsfelde 7b;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4915750454794;ChIJhQ1iY7hOqEcRhNsFfC1OB3g;Bezirk Lichtenberg;52.51037879999999;13.5066052;['food', 'point_of_interest', 'establishment'];;5;3
140;986;Dong Da Restaurant;Pfarrstraße 121;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4917631542264;ChIJkea35WhPqEcRubu_3e5FdCE;Bezirk Lichtenberg;52.5045069;13.4766942;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.7;192
141;29;Pizza Max;Margaretenstraße4;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493052696060;ChIJD2R2AcFOqEcROOsNQ7KkZGQ;Bezirk Lichtenberg;52.50773;13.49729;['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];2;3.3;142
142;159;Pizza Ragazzi;Hauptstraße 1;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4915237635790;ChIJJ-mkoXTcuEcRo6g6jlHj6OM;Stadtbezirke VIII;51.390277;7.0827994;['restaurant', 'food', 'point_of_interest', 'establishment'];1;4.3;116
143;952;Salsa Mexicana;Weitling Straße 34;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+49305252541;ChIJ_6fFVMBOqEcRZHqF4VL7iV8;Bezirk Lichtenberg;52.508075;13.496884;['restaurant', 'food', 'point_of_interest', 'establishment'];2;3.8;431
144;840;Restaurant Jelänger Jelieber;Kaskelstraße 49;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493055576067;ChIJW8VRIu9OqEcRdYGW7U14okc;Bezirk Lichtenberg;52.50385;13.48177;['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];2;4.4;274
145;754;Quattro Fratelli Karlshorst;Rheinsteinstraße 1, 10318 Berlin-Karlshorst;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493098419956;ChIJh4dfnddIqEcR-yHNYknc4tE;Bezirk Lichtenberg;52.4828288;13.5261337;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.3;423
146;1004;Fratelli Da Giovanni;Otto-Schmirgal-Straße 5;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4917648222615;ChIJudYEnDJJqEcRNZyu8rxoQBg;Bezirk Lichtenberg;52.4974367;13.5223036;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];2;4.4;366
147;833;DEEP Indische Spezialitäten;Sewanstraße 260;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493022680616;ChIJZ-5wGMNJqEcRYjtACxE7xYQ;Bezirk Lichtenberg;52.49362670000001;13.5173571;['restaurant', 'food', 'point_of_interest', 'establishment'];;3.8;36
148;1160;EPIRUS;Ruschestraße 64-70;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493057795070;ChIJQ60PRJBOqEcRRcWC3MTdLnI;Bezirk Lichtenberg;52.521781;13.4865209;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.2;631
149;1271;Aastha;Parkaue 35;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493085735738;ChIJu7wRuI1OqEcR2MnrEs40frE;Bezirk Lichtenberg;52.5169674;13.4791856;['restaurant', 'food', 'point_of_interest', 'establishment'];;4.2;302
150;2;Meta Mate;Strassburgerstraße 16;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4915233738308;ChIJBUQ0Lh1OqEcROpHg79CDsc0;Bezirk Pankow;52.53065770000001;13.4150104;['cafe', 'food', 'point_of_interest', 'establishment'];2;4.6;111
151;1237;Maseltopf;Rykestraße 2;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493044317525;ChIJedQX7QNOqEcRO900Oc6mT6Y;Bezirk Pankow;52.5348518;13.4195406;['restaurant', 'food', 'point_of_interest', 'establishment'];;4.2;569
152;189;UNSRE KNEIPE;Belforter Straße 22;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493094058335;ChIJVVWhbwNOqEcRaZUd2XJT4a4;Bezirk Pankow;52.53230019999999;13.4189638;['bar', 'point_of_interest', 'establishment'];1;4.9;316
153;376;PIZZAFABRIK.DE;Ella-Kay-Straße 2A;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493055578078;ChIJw33CxgdOqEcR_XKMoBhPMN0;Bezirk Pankow;52.5384765;13.4293161;['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment'];;4.1;30
154;993;CUBANDRES catering;Prenzlauer Allee 190;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4917655493552;ChIJ9xTpUwdOqEcRiuEMtzgNJaw;Bezirk Pankow;52.54060519999999;13.424678;['restaurant', 'food', 'point_of_interest', 'establishment'];;4.3;6
155;1090;The Hidden by Daniel's Eatery;Heinrich-Roller-Straße 8;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+491701849937;ChIJUfCtNAVOqEcRGKIuvRsWmRI;Bezirk Pankow;52.5299474;13.424377;['restaurant', 'food', 'point_of_interest', 'establishment'];;4.7;35
156;915;Restaurant Herr Rossi;Winsstraße 11;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4917648779334;ChIJDd9T-AROqEcRTD28K79hMN8;Bezirk Pankow;52.5328228;13.4246048;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.5;219
157;502;Maothai Restaurant;Wörther Straße 30;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+49304419261;ChIJbWg1bwFOqEcRNbDIVGvgYDI;Bezirk Pankow;52.5363889;13.4197222;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.4;406
158;1202;Scotch&Sofa;Kollwitzstrasse18;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+491775438554;;;;;;;;
159;691;grossherz;Metzer Straße 22;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4930209164628;ChIJyzJ1LNlPqEcRy_KWpSrjz0E;Bezirk Pankow;52.53091620000001;13.4188396;['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment'];;4.7;130
160;256;Restaurant Suriya Kanthi;Knaackstraße 4;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+49304425301;ChIJVxwwiANOqEcROvHO5CFCifY;Bezirk Pankow;52.5339172;13.4206541;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];2;4;237
161;266;Gasthaus Alt Wien;Hufelandstraße 22;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493070129610;ChIJm7-IVw5OqEcRxFRycnVAoUE;Bezirk Pankow;52.53148669999999;13.4325518;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.6;686
162;622;Restaurant Taleh Thai;Käthe-Niederkirchner-Straße 14;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493042851030;ChIJb-CtNw5OqEcRp3kuYtPtR-I;Bezirk Pankow;52.53048799999999;13.4315041;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.6;405
163;104;BLUE LABEL;Bötzowstraße 7;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+491622942471;ChIJK4_4LA5OqEcRGOw3RGbZtTw;Bezirk Pankow;52.52948809999999;13.4309916;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];2;4.3;137
