id;name;strasse_nr;bezirk;lat;lng;types;delivery;price_lvl;nr_ratings;rating
204;Café Bar MOLOKO;Lettestraße 6a;Pankow;52.54363420000001;13.4189167;['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment'];True;Moderate;135;4.5
121;Restaurant Schust;Eberswalder Straße 34;Pankow;52.54147029999999;13.4093767;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;65;4.8
214;La Buvette Weinbar;Gleimstraße 41;Pankow;52.5474791;13.4091012;['liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];False;Moderate;325;4.6
1014;Der Fischladen;Schönhauser Allee 128;Pankow;52.5459842;13.4124555;['restaurant', 'food', 'point_of_interest', 'store', 'establishment'];True;Moderate;626;4.5
140;Chay Long;Raumerstraße 17;Pankow;52.5416147;13.4218312;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;283;4.7
1191;Restaurant Thüringer Stuben;Stargarder Straße 28;Pankow;52.54440109999999;13.4226731;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;428;4.4
418;SPRO Scones Bakery & Coffee;Schönhauser Allee 50a;Pankow;52.5426373;13.4127143;['cafe', 'food', 'point_of_interest', 'establishment'];False;Moderate;101;4.8
246;Orlando Berlin;Rhinower Straße 10;Berlin;52.5481794;13.409557;['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;103;4.2
511;DIE PIZZAHÜTTE;KOPENHAGENER STRAßE 17;Pankow;52.5492171;13.4076139;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;59;3.9
75;Trattoria Zoe;Senefelderstraße 10;Pankow;52.5420842;13.4232468;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;532;4.3
1213;3YS Vision GmbH;Lychenerstraße 18;Pankow;52.54222679999999;13.4162567;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Very Expensive;921;4.7
1220;Goldhahn und Sampson;Dunckerstraße 9;Charlottenburg-Wilmersdorf;52.503942;13.30775;['book_store', 'grocery_or_supermarket', 'cafe', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment'];True;Unknown;68;4.4
196;Goldhahn und Sampson;Wilmersdorfer Straße 102-103;Charlottenburg-Wilmersdorf;52.503942;13.30775;['book_store', 'grocery_or_supermarket', 'cafe', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment'];True;Unknown;68;4.4
1048;Trattoria Felice;Lychener Straße 41;Pankow;52.5439491;13.4175574;['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;531;4.2
1151;Giomecca Pastry;Erich Weinert Straße 3;Pankow;52.5520876;13.4151357;['bakery', 'food', 'point_of_interest', 'store', 'establishment'];True;Moderate;112;4.8
188;Seth & Fathe Indische & Pakistanische Spezialitäten;Malmöer Straße 13;Pankow;52.5531295;13.4032341;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Inexpensive;106;3.9
709;George R Bar;Wilhelmshavener Straße 57;Mitte;52.53027779999999;13.3411111;['bar', 'point_of_interest', 'establishment'];True;Moderate;253;4.6
624;Burger Turm;Turmstrasse, 49;Mitte;52.5272259;13.3325671;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;1649;4.7
1064;Nord West Oase;Wiclef Straße 17;Mitte;52.5306697;13.3351494;['bar', 'point_of_interest', 'establishment'];False;Inexpensive;109;4.3
1067;Zunftwirtschaft;Arminiusstraße 2-4;Mitte;52.5274808;13.3382989;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;56;4.4
285;agni;Kaiserin-Augusta-Allee 1;Mitte;52.5245962;13.3271798;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Inexpensive;412;4.5
